url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,Alternate names,Memory Card,USB,Ethernet,Processor,Graphics,Weight,Battery Type,Console Family,Launched,Wi-Fi,HDMI
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony PlayStation 4 (Black, 500GB)",PlayStation 4,"₹ 30,990","2,020",7,2,4,12,75,"500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,PS4,,2 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,,Sony PlayStation 4,November 2013,Yes,Yes
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony PlayStation 4 (Silver, 500GB)",PlayStation 4,"₹ 44,990","2,020",7,2,4,12,75,"500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,PS4,,2 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,,Sony PlayStation 4,November 2013,Yes,Yes
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony PlayStation 4 (Black, 1TB)",PlayStation 4,"₹ 31,990","2,020",7,2,4,12,75,"500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,PS4,,2 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,,Sony PlayStation 4,November 2013,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-11990,https://i.gadgets360cdn.com/products/large/1549457624_635_xbox_one_s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One S (White, 1TB)",Xbox One S,"₹ 30,990",405,3,2,3,15,77,"500GB, 1TB, 2TB",Home Console,"HDMI-out, Optical Out",8GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,2.9kg,,Microsoft Xbox One,August 2016,Yes,Yes
https://gadgets.ndtv.com/sony-psp-street-12017,https://i.gadgets360cdn.com/products/large/1550052796_635_psp_e1000_.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,,PSP Street,,,0,0,0,0,0,None,Handheld Console,,64MB,Disc,4.3 inches,PSP-E1000,up to 32GB,1 USB 2.0 port,No,333MHz MIPS R4000,166MHz GPU,223g,Li-ion,Sony PlayStation Vita/ PSP,October 2011,No,No
https://gadgets.ndtv.com/nintendo-game-boy-advance-sp-12026,https://i.gadgets360cdn.com/products/large/1550062241_635_nintendo_gameboy_advance_sp.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,Game Boy Advance SP,,,0,0,0,0,0,No,Handheld Console,No,,Cartridge,2.9-inches,AGS-101,No,No,No,ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz,No,140g,Li-ion,Nintendo Game Boy,March 2003,No,No
https://gadgets.ndtv.com/nintendo-ds-12021,https://i.gadgets360cdn.com/products/large/1550057291_635_nintendo_ds_.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,DS,,,0,0,0,0,0,256KB,Handheld Console,No,4MB,Cartridge,3-inches (upper); 3-inches (lower),,No,No,No,ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz,No,275g,Li-ion,Nintendo DS,November 2004,Yes,No
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,Sony Playstation 4 Pro (White),PlayStation 4 Pro,"₹ 42,500",607,11,2,4,10,72,1TB,Home Console,Optical Out,8GB,Disc,,,,3 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,,Sony PlayStation 4,November 2016,Yes,Yes
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony Playstation 4 Pro (Black, 1TB)",PlayStation 4 Pro,"₹ 36,594",607,11,2,4,10,72,1TB,Home Console,Optical Out,8GB,Disc,,,,3 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,,Sony PlayStation 4,November 2016,Yes,Yes
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,Sony Playstation 4 Pro (Black),PlayStation 4 Pro,"₹ 31,500",607,11,2,4,10,72,1TB,Home Console,Optical Out,8GB,Disc,,,,3 USB 3.1 ports,Yes,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,,Sony PlayStation 4,November 2016,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox 360 (Black, 4GB)",Xbox 360,"₹ 27,990",412,8,1,6,13,72,"4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,,Microsoft Xbox 360,November 2005,Yes,Yes
https://gadgets.ndtv.com/new-nintendo-3ds-11998,https://i.gadgets360cdn.com/products/large/1549531514_635_new_nintendo_3ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,New 3DS,,,0,0,0,0,0,1GB,Handheld Console,No,256MB,Cartridge,3.88-inches (upper); 3.33-inches (lower),,Upto 32GB,No,No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,230g,Li-ion,Nintendo DS,November 2014,Yes,No
https://gadgets.ndtv.com/nintendo-2ds-11996,https://i.gadgets360cdn.com/products/large/1549530220_635_nintendo_2ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,2DS,,,0,0,0,0,0,1GB,Handheld Console,No,128MB,Cartridge,3.53-inches (upper); 3.02-inches (lower),,Upto 32GB,No,No,Dual-Core ARM11 MPCore,DMP PICA200 GPU,260g,Li-ion,Nintendo DS,October 2013,Yes,No
