url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Launched,Front camera,Screen size (inches),Touchscreen,Rear camera,Wi-Fi,Internal storage,Bluetooth,Resolution,Operating system,Expandable storage,Accelerometer,Processor,GPS,Ambient light sensor,Gyroscope,Removable battery,RAM,Compass/ Magnetometer,Proximity sensor,Barometer,Wi-Fi Direct,FM,USB OTG,Headphones,NFC,Temperature sensor,Infrared,Mobile High-Definition Link (MHL),Expandable storage type,Processor make,Wi-Fi standards supported,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Number of SIMs,Rear Flash,3G,4G/ LTE,Supports 4G in India (Band 40),Pixels per inch (PPI),GSM/CDMA,SIM Type,Form factor,Sim 2 3G,other_info
https://gadgets.ndtv.com/microsoft-surface-3-2545,https://drop.ndtv.com/TECH/product_database/images/331201572442PM_635_microsoft_surface_3.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,,Surface 3,,,0,0,0,0,100,March 2015,3.5-megapixel,10.80,No,8-megapixel,Yes,64GB,Yes,1920x1080 pixels,Windows 8.1,Yes,Yes,1.6GHz quad-core,No,Yes,Yes,No,2GB,Yes,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom x7-Z8700,802.11 a/b/g/n/ac,622.00,267.00 x 187.00 x 8.70,,,4.00,,,,,,,,,,,,{}
https://gadgets.ndtv.com/lg-g-pad-8-0-1589,https://drop.ndtv.com/TECH/product_database/images/5122014113708AM_635_lg_g_pad_8.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,LG,,G Pad 8.0,,,0,0,0,0,0,May 2014,1.3-megapixel,8.00,No,5-megapixel,Yes,16GB,No,1280x800 pixels,Android,Yes,Yes,1.2GHz quad-core,No,No,No,No,1GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,,802.11 a/b/g/n,342.00,210.80 x 124.20 x 9.90,4200,,,"Black, White, Luminous Orange, Luminous Blue",,,,,,,,,,,{}
https://gadgets.ndtv.com/amazon-kindle-fire-2012-1702,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Amazon,,Kindle Fire (2012),,,0,0,0,0,0,September 2012,No,7.00,No,No,Yes,8GB,No,1024x600 pixels,Fire OS,No,No,1.2GHz dual-core,No,No,No,No,1GB,No,No,No,No,No,No,3.5mm,No,No,No,No,,Cortex A9,802.11 b/g/n,400.00,120.00 x 189.00 x 11.50,4400,,,,,,,,,169,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-tab-a-nook-3702,https://drop.ndtv.com/TECH/product_database/images/819201615418PM_635_samsung_galaxy_tab_a_nook.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Tab A Nook,,,0,0,0,0,0,August 2016,2-megapixel,7.00,No,5-megapixel,Yes,8GB,No,800x1280 pixels,Android 5.1,Yes,Yes,quad-core,Yes,Yes,Yes,No,1.5GB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,Qualcomm Snapdragon 410,,,,4000,200,,Black,,,,,,216,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-tabpro-s-3203,https://drop.ndtv.com/TECH/product_database/images/162016103041AM_635_samsung_galaxy_tabpro_s.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy TabPro S,,,0,0,0,0,0,January 2016,5-megapixel,12.00,No,5-megapixel,Yes,128GB,Yes,2160x1440 pixels,Windows 10,No,Yes,one-core,Yes,Yes,Yes,No,4GB,No,No,No,No,No,No,3.5mm,No,No,No,No,,Intel Core m3,802.11 a/b/g/n/ac,693.00,198.80 x 290.30 x 6.30,5200,,4.10,,,,,,,,,,,,{}
https://gadgets.ndtv.com/acer-iconia-b1-a71-1510,https://drop.ndtv.com/TECH/product_database/images/4122014121705PM_635_acer_iconia_b_1.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,,Iconia B1-A71,,,0,0,0,0,0,February 2013,0.3-megapixel,7.00,No,No,Yes,8GB,Yes,1024x600 pixels,Android 4.1,Yes,No,1.2GHz dual-core,No,No,No,No,512MB,No,No,No,No,No,No,3.5mm,No,No,No,No,microSD,Mediatek MTK 8317T,802.11 b/g/n,,,2710,32,4.00,,,,,,,,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-note-800-1408,https://drop.ndtv.com/TECH/product_database/images/43201420641PM_635_samsung_galaxy_note_800.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Note 800,,12,17,8,8,25,42,August 2012,1.9-megapixel,10.10,No,5-megapixel,Yes,16GB,Yes,1280x800 pixels,Android 4,No,Yes,1.4GHz one-core,Yes,Yes,No,No,2GB,Yes,Yes,No,Yes,No,No,3.5mm,No,No,No,Yes,microSD,,,600.00,180.00 x 262.00 x 8.90,7000,32,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/apple-ipad-4th-generation-wi-fi-1415,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Apple,,iPad 4th generation Wi-Fi,,,0,0,0,100,0,October 2012,1.2-megapixel,9.70,No,5-megapixel,Yes,16GB,Yes,1536x2048 pixels,iOS 6,No,Yes,1.4GHz one-core,Yes,No,Yes,No,1GB,Yes,No,No,No,No,No,3.5mm,No,No,No,No,microSD,,,652.00,241.20 x 185.70 x 9.40,11560,,,,,,,,,264,,,,,{'Alternate names': 'iPad 4'}
https://gadgets.ndtv.com/microsoft-surface-go-5541,https://i.gadgets360cdn.com/products/large/1553080844_635_microsoft_surface_go.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Surface Go Tablet (128GB, 10 Inches, Wi-Fi, Gold)",Surface Go,"₹ 99,766",626,16,5,6,13,60,July 2018,5-megapixel,10.00,Yes,8-megapixel,Yes,128GB,Yes,1800x1200 pixels,Windows 10 S,Yes,Yes,1.6GHz dual-core,,Yes,Yes,No,8GB,Yes,,,,No,,Yes,No,,No,,microSD,Intel Pentium Gold 4415Y,802.11 a/b/g/n/ac,522.00,245.00 x 175.00 x 8.30,,,4.10,,,No,,,,,,,Touchscreen,,{'Front Flash': 'No'}
https://gadgets.ndtv.com/acer-iconia-w500-1511,https://drop.ndtv.com/TECH/product_database/images/412201411510PM_635_acer_iconia_w500.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,,Iconia W500,,,0,0,0,0,0,July 2011,No,10.10,No,1.3-megapixel,Yes,32GB,Yes,1280x800 pixels,Windows 7,Yes,No,1GHz dual-core,No,No,No,No,2GB,No,No,No,No,No,No,3.5mm,No,No,No,No,microSD,AMD,802.11 b/g/n,,189.92 x 275.00 x 16.00,,32,,,,,,,,,,,,,{}
