product_id,product_name,brand,model,category,price,image_url,product_url,stock
48,"Samsung Galaxy S9 (4GB RAM, 64GB) - Coral Blue",Samsung,Galaxy S9,Mobiles,31607,https://i.gadgets360cdn.com/products/large/1519585124_635_samsung_galaxy_s9_blue.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-s9-4569,5
49,"Samsung Galaxy S9 (4GB RAM, 128GB) - Midnight Black",Samsung,Galaxy S9,Mobiles,41990,https://i.gadgets360cdn.com/products/large/1519585124_635_samsung_galaxy_s9_blue.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-s9-4569,47
50,"iPhone SE (2020) (3GB RAM, 256GB) - Black",Apple,iPhone SE (2020),Mobiles,50999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,48
51,"iPhone SE (2020) (3GB RAM, 256GB) - White",Apple,iPhone SE (2020),Mobiles,50999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,43
52,"iPhone SE (2020) (3GB RAM, 64GB) - Black",Apple,iPhone SE (2020),Mobiles,32999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,47
53,"Samsung Galaxy S9 (4GB RAM, 64GB) - Lilac Purple",Samsung,Galaxy S9,Mobiles,45999,https://i.gadgets360cdn.com/products/large/1519585124_635_samsung_galaxy_s9_blue.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-s9-4569,44
54,"Samsung Galaxy Note 8 (6GB RAM, 64GB) - Orchid Grey",Samsung,Galaxy Note 8,Mobiles,39990,https://drop.ndtv.com/TECH/product_database/images/SAmsung_galaxy_note_8_black_db_ndtv_4261_480X960_9202017111310AM.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-note-8-4261,36
55,"Samsung Galaxy Note 8 (6GB RAM, 64GB) - Maple Gold",Samsung,Galaxy Note 8,Mobiles,35990,https://drop.ndtv.com/TECH/product_database/images/SAmsung_galaxy_note_8_black_db_ndtv_4261_480X960_9202017111310AM.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-note-8-4261,31
56,"Realme 2 Pro (8GB RAM, 128GB) - Ocean Blue",Realme,2 Pro,Mobiles,16999,https://i.gadgets360cdn.com/products/large/1538037790_800_realme2_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/realme-2-pro-5665,23
57,"Samsung Galaxy S9 (4GB RAM, 256GB) - Midnight Black",Samsung,Galaxy S9,Mobiles,47990,https://i.gadgets360cdn.com/products/large/1519585124_635_samsung_galaxy_s9_blue.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-s9-4569,39
58,"iPhone SE (2020) (3GB RAM, 128GB) - Red",Apple,iPhone SE (2020),Mobiles,37999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,39
59,"iPhone SE (2020) (3GB RAM, 128GB) - Black",Apple,iPhone SE (2020),Mobiles,40999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,28
60,"iPhone SE (2020) (3GB RAM, 128GB) - White",Apple,iPhone SE (2020),Mobiles,41999,https://i.gadgets360cdn.com/products/large/iphone-se-2020-394x800-1587470171.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195,50
61,"Samsung Galaxy S9 (4GB RAM, 64GB) - Midnight Black",Samsung,Galaxy S9,Mobiles,30500,https://i.gadgets360cdn.com/products/large/1519585124_635_samsung_galaxy_s9_blue.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/samsung-galaxy-s9-4569,49
62,"Realme 3 Pro (6GB RAM, 64GB) - Carbon Grey",Realme,3 Pro,Mobiles,17999,https://i.gadgets360cdn.com/products/large/1555920099_635_realme3_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/realme-3-pro-13001,45
63,Vivo V5 (32GB) - Space Grey,Vivo,V5,Mobiles,16800,https://drop.ndtv.com/TECH/product_database/images/DB_Vivo_V5_2_3881_480X960_1122201643549PM.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/vivo-v5-3881,49
64,Xiaomi Redmi 6A (16GB) - Blue,Xiaomi,Redmi 6A,Mobiles,5990,https://i.gadgets360cdn.com/products/large/1528791254_635_xiaoim_redmi_6a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6a-5512,28
